TheTime,O3,NO,NO2,NOx,T,RH,P,Lite,O3CellP,O3CellT,O3Flow,NOxReacT,NOxConvT,NOxFlow
874,31.45,0.6558503,1.391626,1.94456,35.20033,17.0955,1016.174,2.329672,975.5667,36.7,1791.167,50.00786,338.7745,1
875,31.36667,0.5877794,2.156964,2.795238,36.59949,15.5761,1016.211,2.322207,975.5667,36.7,1792.167,50.0144,338.7745,1
876,32.81667,0.6933038,1.000819,1.618365,36.31917,14.87817,1016.198,2.32273,975.5667,36.7,1794.667,50.01282,338.7944,1
877,32.96667,0.3403785,1.170543,1.633044,35.80533,15.5565,1016.19,2.323383,975.6167,36.7,1791.333,50.00981,338.8144,1
878,32.46667,0.3199666,1.007651,1.338677,36.23407,15.48051,1016.2,2.322954,975.6,36.73333,1788.167,50.01117,338.7745,1
879,32.2,0.2186732,0.9472447,1.175692,37.11267,14.67783,1016.178,2.322567,975.6,36.8,1788.833,50.0148,338.8942,1
880,33.53333,0.2819163,1.03116,1.286537,36.002,14.62183,1016.153,2.329182,975.5667,36.8,1790.667,50.02038,338.8543,1
881,33.41667,0.3344222,0.8458009,1.163149,34.86678,15.5822,1016.111,2.332256,975.5333,36.8,1791.167,49.99546,338.9341,1
882,33.11667,0.2466084,0.9432611,1.213504,34.6785,15.7825,1016.13,2.334817,975.5333,36.8,1789.167,50.00344,338.8742,1
883,33.11667,0.2844439,0.9825354,1.236967,35.35567,15.81767,1016.112,2.344993,975.5333,36.8,1788,50.01031,338.9341,1
884,34.18333,0.2420156,0.8755471,1.122771,34.83102,15.46356,1016.115,2.340727,975.5667,36.9,1791.167,50.00121,338.9341,1
885,33.76667,0.2569497,0.8493837,1.106897,34.68067,15.9225,1016.09,2.34452,975.5333,36.9,1790.833,50.01334,338.8942,1
886,33.9,0.2278174,0.8185556,1.047058,35.70483,15.70633,1016.068,2.343555,975.4833,36.9,1791.833,50.00322,339.0338,1
887,33,0.2909474,0.8214664,1.098173,36.29881,14.88898,1016.086,2.344451,975.4833,36.9,1792.5,49.9915,339.0538,1
888,33.05,0.5153786,0.8933325,1.389195,35.54,15.31483,1016.025,2.347323,975.45,36.9,1789.5,50.01875,338.9341,1
889,33.01667,0.2859829,0.9785749,1.291481,36.11183,15.232,1016.034,2.354235,975.4333,36.9,1795.5,49.99163,339.0139,1
890,33.58333,0.244793,0.8801613,1.130005,36.08475,14.78254,1016.01,2.363881,975.4333,37,1794,50.00829,339.0937,1
891,33.01667,0.2090284,0.8224984,1.009137,35.6695,15.29883,1015.966,2.36526,975.3667,37,1791.333,49.9827,339.0139,1
892,32.93333,0.2737706,0.8442629,1.098932,35.95,15.20883,1015.966,2.358563,975.3167,37,1795,49.99868,339.1136,1
893,31.8,0.325962,1.050061,1.379667,36.27881,15.85102,1015.975,2.353749,975.3,37,1790.167,49.98861,339.0538,1
